(matchnum, 17), (teamnum, 2035), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 8), (manueverrating, 4), (defensiverating, 2), (offensiverating, 4), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 18), (teamnum, 1868), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 2), (misses, 1), (driverrating, 16), (manueverrating, 32), (defensiverating, 2), (offensiverating, 32), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 2), (penalty, 0), (bridge, 5), (redcard, 0), 
(matchnum, 19), (teamnum, 115), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 1), (misses, 0), (driverrating, 16), (manueverrating, 16), (defensiverating, 2), (offensiverating, 32), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 2), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 20), (teamnum, 1156), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 0), (misses, 4), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 2), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 21), (teamnum, 4047), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 16), (manueverrating, 8), (defensiverating, 8), (offensiverating, 16), (range, 2), (robottype, 3), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 22), (teamnum, 1280), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 64), (manueverrating, 32), (defensiverating, 8), (offensiverating, 32), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 23), (teamnum, 1538), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 16), (manueverrating, 32), (defensiverating, 8), (offensiverating, 16), (range, 3), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 2), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 24), (teamnum, 114), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 3), (driverrating, 16), (manueverrating, 64), (defensiverating, 16), (offensiverating, 32), (range, 4), (robottype, -1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 2), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 25), (teamnum, 649), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 1), (misses, 2), (driverrating, 8), (manueverrating, 8), (defensiverating, 16), (offensiverating, 16), (range, 4), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 26), (teamnum, 1351), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 3), (driverrating, 16), (manueverrating, 16), (defensiverating, 8), (offensiverating, 4), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 27), (teamnum, 1868), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 2), (misses, 0), (driverrating, 32), (manueverrating, 32), (defensiverating, 32), (offensiverating, 64), (range, -4), (robottype, 3), (telescorebot, 0), (telescoremid, 0), (telescoretop, 2), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 28), (teamnum, 256), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 1), (startposition, 1), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 0), (robottype, 0), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 29), (teamnum, 3256), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 2), (misses, 1), (driverrating, 128), (manueverrating, 128), (defensiverating, 8), (offensiverating, 256), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 5), (penalty, 0), (bridge, 5), (redcard, 0), 
(matchnum, 30), (teamnum, 649), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 1), (startposition, 2), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 31), (teamnum, 766), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 3), (driverrating, 2), (manueverrating, 2), (defensiverating, 2), (offensiverating, 2), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 32), (teamnum, 581), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 1), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 2), (driverrating, 32), (manueverrating, 32), (defensiverating, 16), (offensiverating, 32), (range, 3), (robottype, 2), (telescorebot, 0), (telescoremid, 2), (telescoretop, 1), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 33), (teamnum, 1967), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 4), (manueverrating, 4), (defensiverating, 8), (offensiverating, 2), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 34), (teamnum, 675), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 32), (manueverrating, 32), (defensiverating, 16), (offensiverating, 32), (range, 1), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 35), (teamnum, 8), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 16), (manueverrating, 16), (defensiverating, 4), (offensiverating, 32), (range, 2), (robottype, 2), (telescorebot, 1), (telescoremid, 2), (telescoretop, 0), (penalty, 0), (bridge, 5), (redcard, 0), 
(matchnum, 36), (teamnum, 4086), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 16), (manueverrating, 16), (defensiverating, 2), (offensiverating, 32), (range, 2), (robottype, 3), (telescorebot, 0), (telescoremid, 3), (telescoretop, 0), (penalty, 1), (bridge, 1), (redcard, 0), 
(matchnum, 37), (teamnum, 2854), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 1), (driverrating, 64), (manueverrating, 64), (defensiverating, 4), (offensiverating, 32), (range, 3), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 38), (teamnum, 4047), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 16), (manueverrating, 16), (defensiverating, 1), (offensiverating, 8), (range, 2), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 39), (teamnum, 253), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 1), (startposition, 1), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 0), (robottype, 0), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 40), (teamnum, 4255), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 2), (manueverrating, 2), (defensiverating, 4), (offensiverating, 8), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 41), (teamnum, 1351), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 2), (misses, 2), (driverrating, 8), (manueverrating, 16), (defensiverating, 8), (offensiverating, 32), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, -1), (redcard, 0), 
(matchnum, 42), (teamnum, 2144), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 2), (misses, 0), (driverrating, 4), (manueverrating, 4), (defensiverating, 2), (offensiverating, 4), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 43), (teamnum, 8), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 32), (manueverrating, 32), (defensiverating, 32), (offensiverating, 32), (range, 4), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 1), (penalty, 0), (bridge, 5), (redcard, 0), 
