(matchnum, 18), (teamnum, 2135), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 4), (driverrating, 4), (manueverrating, 4), (defensiverating, 1), (offensiverating, 4), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 19), (teamnum, 3013), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 4), (manueverrating, 8), (defensiverating, 1), (offensiverating, 2), (range, 2), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 3), (redcard, 0), 
(matchnum, 20), (teamnum, 840), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 2), (misses, 1), (driverrating, 8), (manueverrating, 16), (defensiverating, 1), (offensiverating, 4), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 21), (teamnum, 604), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 1), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 25), (teamnum, 1241), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 1), (startposition, 0), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 26), (teamnum, 2135), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 1), (manueverrating, 1), (defensiverating, 2), (offensiverating, 32), (range, 1), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 27), (teamnum, 1671), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 0), (misses, 0), (driverrating, 64), (manueverrating, 128), (defensiverating, 64), (offensiverating, 256), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 3), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 28), (teamnum, 1868), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 0), (misses, 0), (driverrating, 128), (manueverrating, 128), (defensiverating, 128), (offensiverating, 128), (range, 1), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 1), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 29), (teamnum, 840), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 0), (misses, 3), (driverrating, 32), (manueverrating, 32), (defensiverating, 16), (offensiverating, 2), (range, 1), (robottype, 2), (telescorebot, 1), (telescoremid, 1), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 30), (teamnum, 3257), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 0), (misses, 0), (driverrating, 256), (manueverrating, 256), (defensiverating, 8), (offensiverating, 64), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 2), (bridge, 1), (redcard, 0), 
(matchnum, 31), (teamnum, 2035), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 1), (startposition, 0), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 0), (robottype, 0), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 31), (teamnum, 2035), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 64), (manueverrating, 128), (defensiverating, 64), (offensiverating, 128), (range, 1), (robottype, 2), (telescorebot, 0), (telescoremid, 2), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 33), (teamnum, 3717), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 1), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 34), (teamnum, 1351), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 5), (redcard, 0), 
(matchnum, 36), (teamnum, 2156), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 32), (manueverrating, 8), (defensiverating, 16), (offensiverating, 8), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 37), (teamnum, 1280), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 3), (driverrating, 8), (manueverrating, 8), (defensiverating, 2), (offensiverating, 16), (range, 4), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 3), (redcard, 0), 
(matchnum, 38), (teamnum, 766), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 1), (startposition, 0), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 0), (robottype, 0), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 39), (teamnum, 2144), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 4), (manueverrating, 4), (defensiverating, 4), (offensiverating, 4), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 40), (teamnum, 604), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 16), (manueverrating, 16), (defensiverating, 16), (offensiverating, 4), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 3), (redcard, 0), 
(matchnum, 41), (teamnum, 8), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 0), (misses, 0), (driverrating, 16), (manueverrating, 16), (defensiverating, 16), (offensiverating, 8), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 42), (teamnum, 2854), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 3), (driverrating, 32), (manueverrating, 64), (defensiverating, 8), (offensiverating, 32), (range, 2), (robottype, 2), (telescorebot, 1), (telescoremid, 0), (telescoretop, 2), (penalty, 1), (bridge, 1), (redcard, 0), 
(matchnum, 43), (teamnum, 1678), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 2), (misses, 0), (driverrating, 64), (manueverrating, 128), (defensiverating, 0), (offensiverating, 128), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 6), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 44), (teamnum, 4159), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 2), (misses, 1), (driverrating, 4), (manueverrating, 8), (defensiverating, 4), (offensiverating, 4), (range, 2), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 1), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 45), (teamnum, 8), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 16), (manueverrating, 16), (defensiverating, 2), (offensiverating, 8), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 46), (teamnum, 2073), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 32), (manueverrating, 32), (defensiverating, 16), (offensiverating, 16), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 2), (redcard, 0), 
